iter	Logloss
0	0.6833482619
1	0.6729256669
2	0.6627064572
3	0.6530709321
4	0.6428320938
5	0.6326101909
6	0.6231872569
7	0.61567955
8	0.6058737903
9	0.5974908747
10	0.5899502437
11	0.5802878874
12	0.5721170315
13	0.5632063671
14	0.5557570315
15	0.5485930008
16	0.5411168097
17	0.5331426484
18	0.5265931165
19	0.5200894146
20	0.5138970646
21	0.5065030024
22	0.5006292246
23	0.4948005191
24	0.4892551552
25	0.4835447049
26	0.4773529034
27	0.4719954806
28	0.4666907418
29	0.4614182525
30	0.4572966746
31	0.451742572
32	0.44652429
33	0.4410550248
34	0.4359361594
35	0.4305484617
36	0.4256444188
37	0.421995644
38	0.4180548856
39	0.4144734039
40	0.4106114234
41	0.4066131823
42	0.40284125
43	0.3996207845
44	0.3953512174
45	0.3915654517
46	0.387938402
47	0.3841373827
48	0.3804140889
49	0.3771190172
50	0.3738032885
51	0.3703140508
52	0.3680299007
53	0.3652213563
54	0.3620452416
55	0.3590382535
56	0.3557935869
57	0.352800136
58	0.3501669159
59	0.3480557543
60	0.3453354367
61	0.3430817523
62	0.3407330231
63	0.3378929786
64	0.3351130841
65	0.3327216602
66	0.3308944837
67	0.3289075072
68	0.3263040959
69	0.3236159484
70	0.3214617385
71	0.3190900324
72	0.3167437023
73	0.3146236096
74	0.3128916446
75	0.3112878181
76	0.3094237987
77	0.3074201591
78	0.3054355403
79	0.303217029
80	0.3008936711
81	0.2991602814
82	0.2981204848
83	0.2967663739
84	0.2957239919
85	0.2946320536
86	0.2928096714
87	0.2913645803
88	0.2895885347
89	0.2884081121
90	0.2868382747
91	0.2854220623
92	0.2842303996
93	0.2824869475
94	0.2810554327
95	0.279688073
96	0.2789560444
97	0.2775941302
98	0.2764500889
99	0.2753088708
100	0.2740740244
101	0.2730928969
102	0.2716540294
103	0.2709321284
104	0.2699594589
105	0.268296867
106	0.2675797325
107	0.2663163419
108	0.2652271307
109	0.2644965702
110	0.2632977345
111	0.2621598115
112	0.2610265311
113	0.2601051676
114	0.2590042974
115	0.2582911896
116	0.2572105242
117	0.2564122861
118	0.2552025698
119	0.2541551326
120	0.2532027092
121	0.2523058174
122	0.2515099429
123	0.2507394955
124	0.2498580023
125	0.2492101823
126	0.2482406881
127	0.2471538488
128	0.2463356349
129	0.2456778687
130	0.2449794696
131	0.2441363721
132	0.2436091988
133	0.2429154855
134	0.242281115
135	0.2418403225
136	0.2410281648
137	0.2402616601
138	0.2397953259
139	0.2388443393
140	0.2383211569
141	0.2376436359
142	0.2368956524
143	0.2364302318
144	0.2356532505
145	0.2349041499
146	0.2343283253
147	0.2337713769
148	0.2331420938
149	0.2327499447
150	0.2322233241
151	0.2315059792
152	0.2310875982
153	0.2305479693
154	0.2298418286
155	0.2294640958
156	0.2292687451
157	0.2288460899
158	0.2286019636
159	0.2279511043
160	0.2274116646
161	0.2268844099
162	0.2263341291
163	0.2261416016
164	0.2257931398
165	0.2252176135
166	0.2246600152
167	0.2242827478
168	0.2237123756
169	0.2234152666
170	0.2229642474
171	0.2225108194
172	0.2221074659
173	0.2216366908
174	0.2212554986
175	0.2207770109
176	0.2202704552
177	0.2197969075
178	0.2193966425
179	0.2190937644
180	0.2187576636
181	0.2182547129
182	0.2179268757
183	0.2175809519
184	0.2170580674
185	0.2167770841
186	0.2163859808
187	0.2161040374
188	0.2157697455
189	0.2156104705
190	0.2153390826
191	0.2150406805
192	0.2146664214
193	0.2144128695
194	0.2139948403
195	0.2136896178
196	0.213452783
197	0.2132600116
198	0.2129053538
199	0.2125444568
200	0.2121412452
201	0.2117417847
202	0.211567024
203	0.2114450409
204	0.2112208693
205	0.2108884205
206	0.2103473933
207	0.2099493711
208	0.2095614333
209	0.2093890345
210	0.2090334427
211	0.2089442761
212	0.2085670292
213	0.2083216779
214	0.2082095573
215	0.2078795283
216	0.2075461716
217	0.2074142294
218	0.2070965613
219	0.2068780424
220	0.2065483288
221	0.206508174
222	0.2062374864
223	0.2059269208
224	0.2056362085
225	0.2053893025
226	0.2052337668
227	0.2050261712
228	0.2049230371
229	0.2047987694
230	0.2045885195
231	0.2043709948
232	0.2042721315
233	0.2041642539
234	0.2036988846
235	0.2034702949
236	0.203278094
237	0.2031120998
238	0.2028697229
239	0.202730952
240	0.2025273745
241	0.2024498383
242	0.2022473052
243	0.2020359272
244	0.2017917424
245	0.2016121126
246	0.2013853364
247	0.201171196
248	0.2010024105
249	0.2006567081
250	0.2003982739
251	0.2001639085
252	0.1999790631
253	0.199795287
254	0.199582752
255	0.1993899674
256	0.1992870783
257	0.1991000332
258	0.1989593287
259	0.1988260979
260	0.1985885708
261	0.1983640136
262	0.1982668411
263	0.1980977425
264	0.1977968917
265	0.1975741757
266	0.1972749032
267	0.1971264279
268	0.196900132
269	0.1967040006
270	0.1965767543
271	0.1964146941
272	0.1962877449
273	0.1961600119
274	0.1960633411
275	0.1958023841
276	0.1956542157
277	0.1954828412
278	0.1951955793
279	0.1950216009
280	0.1948670438
281	0.1946120057
282	0.1945391089
283	0.1945081979
284	0.1943948907
285	0.1943412054
286	0.1941323423
287	0.1939355689
288	0.1937169193
289	0.1934354622
290	0.1933755823
291	0.1932259426
292	0.1929683079
293	0.1928735594
294	0.192743819
295	0.1925663888
296	0.1923537242
297	0.1922006312
298	0.1921276058
299	0.1920019647
300	0.1918560828
301	0.1917734518
302	0.1916315749
303	0.1914349744
304	0.1912898704
305	0.1911172357
306	0.1910411102
307	0.1908795423
308	0.190711982
309	0.1905451754
310	0.1904648064
311	0.190225229
312	0.1900952992
313	0.1899471025
314	0.1897635064
315	0.1896143767
316	0.1894632093
317	0.1893537621
318	0.1891992919
319	0.1891656668
320	0.1889974808
321	0.1888283296
322	0.1886735203
323	0.1885387715
324	0.1883116256
325	0.1882072997
326	0.187968237
327	0.1876886719
328	0.1876132236
329	0.1875118384
330	0.187324774
331	0.1871858465
332	0.1871693027
333	0.1870476864
334	0.1869743349
335	0.1867718762
336	0.1866887745
337	0.1864082949
338	0.1862872804
339	0.1861816699
340	0.1860385011
341	0.1858933752
342	0.1855844216
343	0.185415152
344	0.1853966263
345	0.1852297315
346	0.1851635875
347	0.1849974098
348	0.1847300649
349	0.1845794809
350	0.1844068664
351	0.1842429296
352	0.1842319994
353	0.1840936398
354	0.1839232009
355	0.1839064525
356	0.1838130786
357	0.1836890124
358	0.1836250687
359	0.1835974754
360	0.1835762043
361	0.1835334515
362	0.1834090311
363	0.1833424183
364	0.183169818
365	0.1831280047
366	0.1830491812
367	0.1828874885
368	0.182813392
369	0.1827620803
370	0.1827042753
371	0.1826039021
372	0.1825241615
373	0.1823574785
374	0.182191745
375	0.1819704824
376	0.1819217677
377	0.1818476613
378	0.1816986031
379	0.1815316751
380	0.1814472997
381	0.1813405809
382	0.1812403096
383	0.1811716258
384	0.1810429467
385	0.1808548033
386	0.1807111786
387	0.1806547831
388	0.1805561824
389	0.1805040221
390	0.1803665921
391	0.1802462884
392	0.1800818399
393	0.1800046633
394	0.1797661244
395	0.1796644307
396	0.1796140638
397	0.179534113
398	0.179513196
399	0.1792548505
400	0.1791472076
401	0.1790785498
402	0.1788539038
403	0.1787820869
404	0.1787150104
405	0.1786324129
406	0.1784744237
407	0.1783390394
408	0.1782648378
409	0.1781134077
410	0.1780314259
411	0.1780076121
412	0.1779456688
413	0.1778685823
414	0.1778524974
415	0.1777369462
416	0.1776270613
417	0.1775502557
418	0.1774661649
419	0.1774176969
420	0.1773535608
421	0.1772454339
422	0.177154118
423	0.1770247596
