iter	Passed	Remaining
0	158	158108
1	161	80479
2	164	54653
3	166	41447
4	167	33409
5	169	28131
6	172	24429
7	173	21466
8	174	19265
9	176	17508
10	178	16009
11	179	14752
12	180	13709
13	182	12831
14	183	12024
15	184	11332
16	186	10759
17	188	10280
18	190	9832
19	192	9435
20	194	9062
21	196	8723
22	198	8414
23	199	8127
24	201	7859
25	203	7612
26	205	7398
27	207	7191
28	208	6996
29	211	6823
30	213	6680
31	216	6541
32	218	6393
33	219	6241
34	221	6107
35	222	5970
36	224	5846
37	225	5717
38	227	5610
39	229	5505
40	231	5405
41	232	5302
42	233	5201
43	234	5096
44	235	5000
45	236	4910
46	237	4824
47	239	4744
48	241	4683
49	243	4618
50	244	4552
51	251	4578
52	252	4515
53	256	4492
54	258	4442
55	260	4387
56	262	4337
57	263	4286
58	265	4238
59	267	4195
60	270	4157
61	272	4116
62	273	4070
63	275	4023
64	276	3979
65	278	3940
66	280	3905
67	282	3877
68	284	3842
69	287	3813
70	288	3778
71	290	3748
72	292	3710
73	293	3669
74	294	3630
75	295	3594
76	296	3555
77	297	3520
78	299	3486
79	300	3453
80	301	3419
81	302	3387
82	303	3350
83	304	3319
84	305	3285
85	306	3254
86	307	3226
87	308	3197
88	310	3173
89	311	3147
90	312	3124
91	314	3103
92	316	3082
93	317	3058
94	318	3034
95	319	3010
96	320	2983
97	321	2960
98	322	2937
99	323	2913
100	325	2896
101	327	2882
102	328	2862
103	330	2845
104	331	2825
105	332	2807
106	334	2787
107	335	2768
108	336	2749
109	337	2730
110	338	2711
111	340	2696
112	341	2682
113	343	2668
114	344	2653
115	346	2638
116	347	2626
117	349	2609
118	350	2592
119	351	2579
120	352	2563
121	354	2550
122	356	2539
123	357	2526
124	359	2514
125	360	2502
126	362	2491
127	364	2482
128	365	2469
129	366	2455
130	368	2445
131	370	2436
132	371	2423
133	373	2410
134	374	2402
135	376	2392
136	379	2388
137	381	2382
138	383	2375
139	385	2366
140	387	2358
141	389	2350
142	390	2341
143	392	2333
144	393	2321
145	396	2316
146	397	2306
147	399	2301
148	401	2294
149	403	2286
150	405	2277
151	406	2266
152	407	2255
153	408	2244
154	409	2233
155	410	2222
156	411	2210
157	413	2205
158	415	2197
159	416	2189
160	418	2179
161	419	2168
162	420	2158
163	421	2146
164	422	2137
165	423	2127
166	424	2117
167	425	2108
168	427	2104
169	430	2099
170	431	2091
171	432	2083
172	433	2074
173	435	2065
174	436	2056
175	437	2046
176	438	2038
177	439	2030
178	440	2021
179	443	2019
180	445	2014
181	446	2007
182	447	1999
183	449	1991
184	450	1983
185	451	1976
186	452	1968
187	453	1960
188	455	1953
189	456	1947
190	459	1944
191	460	1938
192	462	1932
193	463	1925
194	464	1918
195	466	1912
196	467	1906
197	468	1899
198	470	1892
199	472	1888
200	474	1885
201	475	1879
202	476	1872
203	478	1866
204	479	1859
205	480	1852
206	481	1845
207	483	1841
208	485	1835
209	487	1834
210	489	1829
211	490	1822
212	491	1817
213	493	1811
214	494	1804
215	495	1797
216	496	1791
217	497	1785
218	498	1778
219	500	1774
220	502	1771
221	503	1765
222	505	1760
223	506	1753
224	507	1747
225	508	1741
226	510	1738
227	511	1733
228	512	1726
229	513	1720
230	515	1715
231	517	1712
232	518	1706
233	519	1701
234	520	1695
235	521	1689
236	523	1685
237	524	1680
238	526	1676
239	528	1672
240	530	1669
241	532	1666
242	533	1663
243	535	1660
244	537	1656
245	539	1652
246	540	1648
247	541	1643
248	543	1640
249	545	1637
250	547	1634
251	551	1636
252	553	1632
253	554	1627
254	555	1622
255	556	1618
256	558	1615
257	561	1613
258	563	1612
259	565	1608
260	566	1604
261	567	1599
262	569	1594
263	570	1590
264	571	1585
265	573	1582
266	576	1582
267	578	1581
268	580	1577
269	581	1573
270	583	1569
271	584	1564
272	585	1559
273	587	1557
274	590	1555
275	592	1555
276	594	1551
277	596	1548
278	597	1544
279	598	1540
280	600	1535
281	601	1530
282	603	1528
283	605	1526
284	607	1525
285	609	1521
286	610	1517
287	612	1513
288	613	1510
289	615	1505
290	616	1502
291	619	1502
292	622	1500
293	623	1497
294	625	1494
295	626	1491
296	628	1486
297	629	1483
298	632	1481
299	634	1480
300	636	1478
301	638	1475
302	640	1472
303	641	1468
304	642	1464
305	644	1461
306	646	1458
307	648	1457
308	651	1456
309	653	1453
310	654	1450
311	656	1447
312	657	1443
313	659	1439
314	661	1437
315	663	1436
316	665	1434
317	667	1431
318	669	1428
319	670	1424
320	671	1420
321	672	1416
322	673	1412
323	676	1411
324	679	1411
325	680	1407
326	682	1405
327	684	1401
328	685	1398
329	686	1394
330	687	1390
331	689	1387
332	691	1385
333	694	1384
334	695	1381
335	697	1378
336	698	1375
337	700	1371
338	701	1368
339	703	1365
340	705	1363
341	709	1364
342	711	1362
343	712	1359
344	713	1355
345	715	1352
346	716	1348
347	718	1346
348	721	1345
349	723	1344
350	725	1341
351	727	1339
352	728	1335
353	730	1332
354	731	1328
355	732	1325
356	734	1322
357	736	1320
358	738	1319
359	740	1316
360	741	1313
361	743	1310
362	744	1307
363	746	1303
364	748	1301
365	751	1302
366	753	1299
367	755	1297
368	756	1294
369	757	1290
370	759	1286
371	760	1283
372	761	1280
373	764	1279
374	767	1278
375	768	1276
376	770	1273
377	771	1270
378	773	1266
379	774	1263
380	776	1261
381	778	1260
382	781	1259
383	783	1256
384	785	1254
385	786	1251
386	787	1248
387	789	1244
388	791	1243
389	793	1241
390	796	1240
391	797	1237
